date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:07:24	1315/1315	---M--	200	added ('OK')	text/plain	etag:%22801f497862b9d61:0%22	https://www.itailor.com/robots.txt		(from )
22:07:34	550935/550935	---M--	200	added ('OK')	text/html	date:Wed,%2016%20Jun%202021%2015:07:28%20GMT	https://www.itailor.com/designsuits/	C:/Users/shegg/OneDrive/Desktop/New%20folder/phungvip/www.itailor.com/designsuits/index.html	(from )
22:07:34	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2016%20Jun%202021%2015:07:39%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/shegg/OneDrive/Desktop/New%20folder/phungvip/www.googletagmanager.com/gtm.05445.delayed	(from https://www.itailor.com/designsuits/)
22:07:35	95938/95938	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2016%20Jun%202021%2015:07:39%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/shegg/OneDrive/Desktop/New%20folder/phungvip/connect.facebook.net/en_US/fbevents.js	(from https://www.itailor.com/designsuits/)
22:07:37	11491/11491	---M--	200	added ('OK')	text/css	etag:%2220bdae51e5f4d21:0%22	https://www.itailor.com/itailor-data/webroot/css/jquery.mCustomScrollbar.css	C:/Users/shegg/OneDrive/Desktop/New%20folder/phungvip/www.itailor.com/itailor-data/webroot/css/jquery.mCustomScrollbar.css	(from https://www.itailor.com/designsuits/)
22:07:37	299705/299705	---M--	200	added ('OK')	text/css	etag:%220289953e5f4d21:0%22	https://www.itailor.com/itailor-data/webroot/css/font.css	C:/Users/shegg/OneDrive/Desktop/New%20folder/phungvip/www.itailor.com/itailor-data/webroot/css/font.css	(from https://www.itailor.com/designsuits/)
22:07:38	2150/2150	---M--	200	added ('OK')	text/css	etag:%22e0c95ed4a9b5d51:0%22	https://www.itailor.com/itailor-data/lib/js/MayaDroupDown/MaYaDroupDown.css	C:/Users/shegg/OneDrive/Desktop/New%20folder/phungvip/www.itailor.com/itailor-data/lib/js/MayaDroupDown/MaYaDroupDown.css	(from https://www.itailor.com/designsuits/)
22:07:39	2711/2711	---M--	200	added ('OK')	text/css	etag:%228030dca3421d51:0%22	https://www.itailor.com/itailor-data/lib/js/MayaPopup/MayaPopup.css	C:/Users/shegg/OneDrive/Desktop/New%20folder/phungvip/www.itailor.com/itailor-data/lib/js/MayaPopup/MayaPopup.css	(from https://www.itailor.com/designsuits/)
22:07:41	28934/28934	---M--	200	added ('OK')	text/css	etag:%2204abc1ed0d61:0%22	https://www.itailor.com/itailor-data/webroot/css/main.css	C:/Users/shegg/OneDrive/Desktop/New%20folder/phungvip/www.itailor.com/itailor-data/webroot/css/main.css	(from https://www.itailor.com/designsuits/)
22:07:42	41338/41338	---M--	200	added ('OK')	text/css	etag:%22065395ea8f0d61:0%22	https://www.itailor.com/itailor-data/product/suit3pcs/css/suit3pcs.css	C:/Users/shegg/OneDrive/Desktop/New%20folder/phungvip/www.itailor.com/itailor-data/product/suit3pcs/css/suit3pcs.css	(from https://www.itailor.com/designsuits/)
22:07:43	3715/3715	---M--	200	added ('OK')	text/css	etag:%2280605d6dcbe3d51:0%22	https://www.itailor.com/itailor-data/product/suit3pcs/css/style.css	C:/Users/shegg/OneDrive/Desktop/New%20folder/phungvip/www.itailor.com/itailor-data/product/suit3pcs/css/style.css	(from https://www.itailor.com/designsuits/)
22:07:44	167/167	---M--	200	added ('OK')	application/javascript	etag:%2280892554e5f4d21:0%22	https://www.itailor.com/itailor-data/webroot/js/detect-bowser.js	C:/Users/shegg/OneDrive/Desktop/New%20folder/phungvip/www.itailor.com/itailor-data/webroot/js/detect-bowser.js	(from https://www.itailor.com/designsuits/)
22:07:45	93064/93064	---M-Z	200	added ('OK')	application/javascript	etag:%2280318754e5f4d21:0%22	https://www.itailor.com/itailor-data/webroot/js/jquery-1.10.1.min.js	C:/Users/shegg/OneDrive/Desktop/New%20folder/phungvip/www.itailor.com/itailor-data/webroot/js/jquery-1.10.1.min.js	(from https://www.itailor.com/designsuits/)
22:07:47	435811/435811	---M-Z	200	added ('OK')	application/javascript	etag:%220228257e5f4d21:0%22	https://www.itailor.com/itailor-data/webroot/js/jquery-ui-1.10.3.custom.js	C:/Users/shegg/OneDrive/Desktop/New%20folder/phungvip/www.itailor.com/itailor-data/webroot/js/jquery-ui-1.10.3.custom.js	(from https://www.itailor.com/designsuits/)
22:07:48	9575/9575	---M-Z	200	added ('OK')	application/javascript	etag:%22802cd411b4e5d61:0%22	https://www.itailor.com/itailor-data/product/suit3pcs/js/JS-VARABLE.js?v=2020-1120	C:/Users/shegg/OneDrive/Desktop/New%20folder/phungvip/www.itailor.com/itailor-data/product/suit3pcs/js/JS-VARABLE30d9.js	(from https://www.itailor.com/designsuits/)
22:07:49	46505/46505	---M-Z	200	added ('OK')	application/javascript	etag:%22061e5cad5c7d61:0%22	https://www.itailor.com/itailor-data/product/suit3pcs/js/JS-01.js?v=2020-1120	C:/Users/shegg/OneDrive/Desktop/New%20folder/phungvip/www.itailor.com/itailor-data/product/suit3pcs/js/JS-0130d9.js	(from https://www.itailor.com/designsuits/)
22:07:50	54249/54249	---M-Z	200	added ('OK')	application/javascript	etag:%228038b1f0e5f4d21:0%22	https://www.itailor.com/itailor-data/product/suit3pcs/js/iscroll-5.2.0.js	C:/Users/shegg/OneDrive/Desktop/New%20folder/phungvip/www.itailor.com/itailor-data/product/suit3pcs/js/iscroll-5.2.0.js	(from https://www.itailor.com/designsuits/)
22:07:50	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Jun%202021%2015:07:55%20GMT	http://widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js	C:/Users/shegg/OneDrive/Desktop/New%20folder/phungvip/widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.f.delayed	(from https://www.itailor.com/designsuits/)
22:07:51	21632/21632	---M-Z	200	added ('OK')	application/x-javascript	etag:%2202d701f294542bd92e2231f26ee2f81e%22	https://widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js	C:/Users/shegg/OneDrive/Desktop/New%20folder/phungvip/widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js	(from https://www.itailor.com/designsuits/)
22:07:53	191729/191729	---M--	200	added ('OK')	image/jpeg	etag:%2270823030531d41:0%22	https://www.itailor.com/images/Models/SuitWeb/Suit/MenuL/4713-3.jpg	C:/Users/shegg/OneDrive/Desktop/New%20folder/phungvip/www.itailor.com/images/Models/SuitWeb/Suit/MenuL/4713-3.jpg	(from https://www.itailor.com/designsuits/)
22:07:54	6814/6814	---M--	200	added ('OK')	image/png	etag:%2270efe9527590cf1:0%22	https://www.itailor.com/itailor-data/webroot/img/icon/itailot-logo.png	C:/Users/shegg/OneDrive/Desktop/New%20folder/phungvip/www.itailor.com/itailor-data/webroot/img/icon/itailot-logo.png	(from https://www.itailor.com/designsuits/)
22:07:55	9100/9100	---M--	200	added ('OK')	image/png	etag:%22b0c933537590cf1:0%22	https://www.itailor.com/iTailor-data/webroot/img/icon/iTaiolor-logo-3d.png	C:/Users/shegg/OneDrive/Desktop/New%20folder/phungvip/www.itailor.com/iTailor-data/webroot/img/icon/iTaiolor-logo-3d.png	(from https://www.itailor.com/designsuits/)
22:07:56	5809/5809	---M--	200	added ('OK')	image/png	etag:%2270efe9527590cf1:0%22	https://www.itailor.com/iTailor-data/webroot/img/icon/iTailor-Cart.png	C:/Users/shegg/OneDrive/Desktop/New%20folder/phungvip/www.itailor.com/iTailor-data/webroot/img/icon/iTailor-Cart.png	(from https://www.itailor.com/designsuits/)
22:07:57	11556/11556	---M--	200	added ('OK')	image/png	etag:%22705af27d2cad31:0%22	https://www.itailor.com/itailor-data/webroot/img/banner-left/1.png	C:/Users/shegg/OneDrive/Desktop/New%20folder/phungvip/www.itailor.com/itailor-data/webroot/img/banner-left/1.png	(from https://www.itailor.com/designsuits/)
22:07:59	19599/19599	---M--	200	added ('OK')	image/png	etag:%2260d550d132bcd51:0%22	https://www.itailor.com/itailor-data/webroot/img/GreenPack.png	C:/Users/shegg/OneDrive/Desktop/New%20folder/phungvip/www.itailor.com/itailor-data/webroot/img/GreenPack.png	(from https://www.itailor.com/designsuits/)
22:08:00	36456/36456	---M--	200	added ('OK')	image/png	etag:%2280f8aff88b2d61:0%22	https://www.itailor.com/itailor-data/product/suit3pcs/images/corona-update.png?v=1585228958	C:/Users/shegg/OneDrive/Desktop/New%20folder/phungvip/www.itailor.com/itailor-data/product/suit3pcs/images/corona-update7cbd.png	(from https://www.itailor.com/designsuits/)
